"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kalista","ADC",12,"15.8%","65.8%","81.6%","58%","17%",51,25,59,4.4,"71.4%","16.2%","42%",56,179,7.3,8.9,"30.1%",487,"23.3%","26.3%",0.53,0.43
"Rumble","Top",20,"26.3%","56.6%","82.9%","70%","0%",68,51,134,4,"67.6%","25.5%","20%",228,161,6.8,7.7,"21.4%",650,"29.6%","20.9%",0.45,0.08
"Neeko","Middle",17,"22.4%","55.3%","77.6%","76%","47%",46,35,115,4.6,"63.4%","20.8%","12%",-10,-7,1,8.1,"22.4%",504,"22.9%","20.9%",0.32,0.26
"Xayah","ADC",26,"34.2%","55.3%","89.5%","65%","8%",114,38,125,6.3,"63.1%","14.0%","12%",0,-48,-0.5,10.4,"33.8%",606,"27.9%","26.6%",0.42,0.32
"Maokai","Jungle",20,"26.3%","51.3%","77.6%","45%","10%",27,55,141,3.1,"70.9%","19.4%","25%",-224,-328,-8.5,4.6,"12.4%",409,"17.9%","15.8%",0.34,0.24
"Orianna","Middle",34,"44.7%","50.0%","94.7%","59%","12%",97,66,218,4.8,"77.0%","18.1%","18%",76,61,2.5,8.7,"25.1%",523,"26.6%","23.2%",0.44,0.22
"Jarvan IV","Jungle",30,"39.5%","44.7%","84.2%","57%","40%",79,68,257,4.9,"84.6%","21.9%","53%",-23,-64,-0.4,5.8,"16.6%",285,"13.2%","19.0%",0.35,0.43
"Poppy","Jungle",5,"6.6%","43.4%","52.6%","60%","40%",7,8,23,3.8,"61.2%","18.6%","40%",106,-108,-7.8,5.1,"13.8%",213,"9.9%","17.2%",0.47,0.36
"Poppy","Top",2,"2.6%","43.4%","52.6%","0%","50%",2,7,3,0.7,"45.5%","22.6%","0%",-823,-274,-17.5,6.8,"19.0%",409,"21.5%","19.9%",0.58,0.13
"Azir","Middle",26,"34.2%","42.1%","76.3%","46%","54%",78,54,112,3.5,"66.9%","16.7%","23%",5,75,1,9.4,"28.2%",605,"28.4%","25.6%",0.48,0.32
"Renata Glasc","Support",15,"19.7%","39.5%","59.2%","80%","27%",11,25,157,6.7,"78.9%","16.9%","47%",193,92,-2.4,0.9,"2.8%",169,"7.4%","10.5%",2.27,0.4
"Rakan","Support",29,"38.2%","35.5%","73.7%","55%","24%",14,61,243,4.2,"72.8%","18.8%","17%",-97,-73,2.9,1.3,"3.3%",134,"6.8%","9.2%",2.07,0.56
"Jax","Top",24,"31.6%","32.9%","64.5%","50%","46%",61,70,74,1.9,"47.4%","23.7%","29%",-83,-50,-3.2,8.5,"27.2%",506,"24.5%","23.2%",0.47,0.14
"Nautilus","Support",12,"15.8%","27.6%","43.4%","58%","67%",1,44,91,2.1,"59.4%","29.1%","25%",29,67,0.8,1.2,"2.8%",127,"6.8%","8.4%",1.61,0.39
"Alistar","Support",22,"28.9%","25.0%","53.9%","27%","27%",14,78,137,1.9,"64.0%","25.5%","27%",-79,64,3.5,1,"2.0%",120,"6.4%","8.4%",1.63,0.28
"Caitlyn","ADC",7,"9.2%","23.7%","34.2%","43%","29%",26,15,33,3.9,"60.8%","15.5%","14%",191,37,6.3,9.8,"33.5%",644,"26.6%","27.3%",0.4,0.45
"Caitlyn","Support",1,"1.3%","23.7%","34.2%","0%","100%",0,1,2,2,"50.0%","7.7%","100%",280,234,-3,1.7,"10.3%",333,"23.2%","13.3%",2.31,0.78
"Vi","Jungle",24,"31.6%","22.4%","53.9%","33%","33%",69,67,136,3.1,"70.4%","20.2%","33%",-18,95,0,6,"17.9%",293,"13.7%","19.5%",0.34,0.3
"Lee Sin","Jungle",12,"15.8%","18.4%","34.2%","50%","50%",28,29,66,3.2,"70.7%","19.2%","42%",189,116,3.2,6.2,"17.6%",289,"15.7%","18.7%",0.58,0.36
"Rell","Jungle",16,"21.1%","18.4%","64.5%","69%","63%",16,34,159,5.1,"78.8%","19.8%","38%",-69,124,4.4,4.7,"11.4%",185,"8.1%","15.3%",0.4,0.4
"Rell","Support",19,"25.0%","18.4%","64.5%","42%","74%",9,69,162,2.5,"75.3%","25.4%","32%",-179,-179,-11.3,1.2,"2.5%",134,"7.0%","8.8%",1.77,0.41
"K'Sante","Middle",2,"2.6%","17.1%","55.3%","50%","50%",4,4,8,3,"60.0%","17.4%","0%",246,88,3,7.2,"17.4%",307,"17.0%","19.9%",0.42,0.46
"K'Sante","Top",27,"35.5%","17.1%","55.3%","41%","41%",63,79,129,2.4,"56.8%","21.9%","15%",-41,-94,-3.6,7.6,"22.2%",413,"19.5%","20.8%",0.4,0.18
"Kai'Sa","ADC",33,"43.4%","15.8%","59.2%","36%","39%",122,69,109,3.3,"68.3%","14.9%","21%",-19,-13,6.1,9.8,"32.2%",493,"25.5%","27.1%",0.58,0.41
"Renekton","Top",23,"30.3%","15.8%","46.1%","39%","43%",43,59,83,2.1,"49.4%","21.4%","9%",213,211,9,8.3,"24.5%",432,"21.3%","21.8%",0.37,0.21
"Sylas","Middle",11,"14.5%","15.8%","30.3%","73%","73%",46,22,65,5,"67.3%","19.8%","18%",-137,-189,-6.7,8.5,"26.6%",522,"22.6%","24.8%",0.29,0.23
"Sejuani","Jungle",17,"22.4%","14.5%","36.8%","53%","71%",28,38,119,3.9,"70.0%","19.7%","47%",109,-23,0.1,5.2,"13.6%",276,"13.4%","16.5%",0.37,0.35
"Aphelios","ADC",22,"28.9%","13.2%","42.1%","50%","59%",96,31,75,5.5,"68.1%","13.2%","36%",28,-36,-3.5,9.8,"33.6%",612,"30.3%","28.2%",0.4,0.32
"Taliyah","Jungle",4,"5.3%","13.2%","30.3%","25%","25%",12,14,11,1.6,"71.9%","24.6%","0%",-171,250,11.5,6.8,"19.6%",555,"33.6%","23.4%",0.45,0.27
"Taliyah","Middle",9,"11.8%","13.2%","30.3%","44%","78%",23,27,64,3.2,"70.7%","21.8%","11%",-344,-339,-9.3,8.4,"26.4%",589,"26.5%","22.1%",0.45,0.19
"Draven","ADC",2,"2.6%","11.8%","14.5%","50%","50%",11,4,5,4,"72.7%","17.4%","100%",981,-109,11,8.6,"30.8%",445,"20.8%","29.3%",0.38,0.31
"Akali","Middle",10,"13.2%","10.5%","23.7%","40%","80%",31,24,41,3,"66.1%","18.9%","20%",-114,-34,-1.5,8.5,"24.1%",433,"23.9%","22.9%",0.24,0.26
"Viego","Jungle",6,"7.9%","10.5%","18.4%","50%","100%",9,14,32,2.9,"61.2%","16.7%","33%",144,197,4.2,6.1,"18.0%",240,"12.4%","18.9%",0.4,0.51
"Syndra","Middle",14,"18.4%","9.2%","27.6%","21%","64%",39,49,38,1.6,"62.6%","24.4%","21%",53,16,4.6,8.3,"24.0%",577,"31.9%","24.1%",0.46,0.21
"Blitzcrank","Support",3,"3.9%","7.9%","11.8%","0%","100%",1,10,8,0.9,"60.0%","20.0%","0%",-343,-439,4.3,1,"2.2%",131,"7.9%","8.7%",1.59,0.2
"Gnar","Top",7,"9.2%","7.9%","17.1%","71%","86%",21,14,30,3.6,"54.3%","19.4%","0%",-220,-110,-6.9,8.9,"26.2%",599,"26.8%","24.0%",0.36,0.27
"Jayce","Middle",11,"14.5%","7.9%","27.6%","18%","45%",33,37,44,2.1,"70.0%","22.8%","27%",20,72,-1.1,8.7,"27.5%",640,"30.0%","26.0%",0.36,0.3
"Jayce","Top",4,"5.3%","7.9%","27.6%","75%","75%",19,14,18,2.6,"60.7%","25.5%","25%",-38,-125,5.5,8.7,"27.8%",860,"30.5%","26.3%",0.48,0.32
"Wukong","Jungle",6,"7.9%","7.9%","15.8%","67%","83%",19,13,37,4.3,"72.7%","28.3%","33%",-40,3,-1.5,6.1,"16.7%",381,"18.9%","20.0%",0.29,0.36
"Zeri","ADC",11,"14.5%","7.9%","22.4%","45%","82%",41,18,42,4.6,"72.2%","12.9%","0%",-10,-29,4.2,10.5,"34.3%",504,"25.6%","28.6%",0.43,0.46
"Ziggs","ADC",1,"1.3%","7.9%","9.2%","0%","100%",1,4,1,0.5,"50.0%","25.0%","0%",48,288,11,8.8,"26.5%",946,"39.2%","23.0%",0.5,0.09
"Kennen","Top",1,"1.3%","6.6%","7.9%","0%","100%",0,5,3,0.6,"50.0%","35.7%","0%",167,181,13,7.9,"21.9%",630,"33.7%","19.2%",0.52,0.08
"Yone","Middle",3,"3.9%","6.6%","13.2%","67%","67%",11,9,11,2.4,"46.8%","25.7%","33%",-16,-102,-6.3,9.6,"29.7%",501,"21.8%","24.1%",0.22,0.19
"Yone","Top",2,"2.6%","6.6%","13.2%","100%","100%",7,4,14,5.3,"50.0%","13.8%","0%",252,-11,11,8.5,"27.1%",602,"22.3%","21.6%",0.43,0.16
