"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Renekton","Top",15,"48.4%","16.1%","64.5%","33%","20%",32,53,60,1.7,"52.6%","23.3%","13%",133,-55,5.7,8.5,"26.0%",442,"21.0%","22.9%",0.44,0.23
"Jarvan IV","Jungle",11,"35.5%","32.3%","67.7%","36%","45%",26,46,80,2.3,"80.9%","25.7%","45%",269,104,0.1,5.1,"14.1%",299,"13.2%","17.7%",0.36,0.41
"Kai'Sa","ADC",24,"77.4%","12.9%","90.3%","50%","67%",116,45,116,5.2,"67.4%","14.5%","25%",-125,-181,-2.8,9.9,"34.3%",610,"26.5%","27.8%",0.61,0.41
"Rell","Support",14,"45.2%","25.8%","77.4%","50%","50%",6,45,169,3.9,"74.5%","25.0%","21%",-26,88,0.9,1.1,"2.5%",136,"5.5%","8.6%",1.78,0.37
"Nautilus","Support",13,"41.9%","16.1%","58.1%","46%","62%",12,38,106,3.1,"65.9%","19.3%","38%",-109,-184,-5.3,1.1,"2.4%",160,"7.4%","8.9%",1.76,0.32
"Lee Sin","Jungle",9,"29.0%","29.0%","58.1%","11%","22%",21,37,30,1.4,"66.2%","22.6%","33%",-9,-124,-1.8,5.5,"15.5%",269,"13.4%","18.5%",0.58,0.3
"Alistar","Support",10,"32.3%","6.5%","38.7%","50%","60%",4,34,80,2.5,"78.5%","24.1%","30%",-74,-20,-1.9,0.9,"1.9%",119,"5.6%","8.4%",1.72,0.24
"Xayah","ADC",19,"61.3%","38.7%","100.0%","68%","5%",103,34,86,5.6,"67.7%","15.0%","16%",45,112,1.4,10.4,"35.9%",631,"28.8%","28.2%",0.43,0.38
"Rakan","Support",16,"51.6%","19.4%","71.0%","56%","13%",8,32,145,4.8,"76.9%","17.1%","25%",103,67,1,1.3,"3.2%",136,"6.7%","9.5%",2.05,0.53
"Aatrox","Top",7,"22.6%","3.2%","25.8%","14%","71%",10,25,31,1.6,"56.9%","19.4%","0%",-308,-58,-15.1,7.6,"24.1%",512,"23.4%","20.7%",0.38,0.15
"Syndra","Middle",10,"32.3%","16.1%","48.4%","60%","40%",32,25,52,3.4,"60.9%","24.3%","10%",20,14,3.2,8.3,"22.8%",622,"28.4%","22.1%",0.51,0.25
"K'Sante","Top",10,"32.3%","22.6%","54.8%","70%","50%",35,23,72,4.7,"70.4%","23.2%","40%",-79,-13,-7.6,7.3,"21.3%",487,"22.1%","21.6%",0.52,0.16
"Orianna","Middle",7,"22.6%","67.7%","90.3%","57%","57%",21,21,50,3.4,"70.3%","21.6%","14%",-18,50,3.7,8.4,"24.0%",577,"25.6%","22.5%",0.57,0.31
"Sejuani","Jungle",8,"25.8%","45.2%","71.0%","50%","63%",8,21,78,4.1,"81.9%","19.1%","63%",-153,36,2.3,4.9,"13.5%",250,"11.5%","15.7%",0.41,0.33
"Maokai","Jungle",9,"29.0%","67.7%","100.0%","67%","11%",16,19,81,5.1,"79.5%","19.0%","22%",-108,-198,-5.7,4.7,"13.1%",467,"18.6%","16.6%",0.32,0.28
"Azir","Middle",5,"16.1%","16.1%","32.3%","60%","80%",24,17,40,3.8,"77.1%","22.1%","40%",0,-44,-0.8,8.1,"23.7%",850,"33.3%","23.3%",0.41,0.28
"Jayce","Middle",8,"25.8%","12.9%","38.7%","75%","0%",43,17,50,5.5,"77.5%","21.0%","25%",75,-49,-0.3,8.9,"26.4%",828,"31.2%","26.6%",0.4,0.39
"Ahri","Middle",6,"19.4%","19.4%","38.7%","0%","50%",13,16,22,2.2,"74.5%","13.7%","17%",-87,9,-4.2,8.8,"25.8%",462,"26.2%","24.9%",0.77,0.42
"Jax","Top",6,"19.4%","32.3%","51.6%","67%","17%",18,16,20,2.4,"39.2%","21.3%","0%",-218,-200,3,8.2,"24.6%",532,"21.5%","21.9%",0.52,0.13
"Taliyah","Middle",7,"22.6%","22.6%","48.4%","14%","57%",17,15,33,3.3,"67.6%","12.8%","43%",-160,2,-2.6,8.9,"28.4%",575,"28.2%","23.8%",0.46,0.17
"Kalista","ADC",4,"12.9%","12.9%","25.8%","50%","75%",17,13,18,2.7,"70.0%","22.8%","50%",130,-23,1.3,9.4,"32.2%",530,"22.2%","28.3%",0.54,0.38
"Neeko","Middle",6,"19.4%","58.1%","77.4%","67%","50%",10,13,31,3.2,"53.9%","18.8%","0%",153,-38,3.5,8.1,"20.8%",493,"24.0%","20.0%",0.38,0.32
"Viego","Jungle",7,"22.6%","22.6%","45.2%","71%","57%",25,13,46,5.5,"64.5%","21.3%","57%",378,609,10.6,6.1,"16.0%",349,"15.6%","20.0%",0.39,0.38
"Gnar","Top",5,"16.1%","3.2%","19.4%","60%","80%",23,11,33,5.1,"67.5%","19.0%","20%",-223,50,-12.4,8.2,"26.3%",729,"28.7%","25.5%",0.42,0.21
"Gwen","Top",2,"6.5%","0.0%","6.5%","0%","100%",0,11,4,0.4,"40.0%","35.5%","0%",-325,-91,-4,7.2,"20.6%",494,"29.7%","19.8%",0.36,0.18
"Sylas","Middle",3,"9.7%","6.5%","16.1%","0%","33%",10,11,9,1.7,"63.3%","18.0%","67%",-179,-198,-11.7,7.5,"23.1%",449,"18.6%","23.3%",0.42,0.26
"Vi","Jungle",4,"12.9%","29.0%","41.9%","50%","75%",17,11,31,4.4,"66.7%","19.6%","25%",430,80,0.5,5.5,"15.9%",311,"12.2%","19.2%",0.38,0.36
"Aphelios","ADC",4,"12.9%","3.2%","16.1%","25%","75%",7,9,14,2.3,"61.8%","16.1%","50%",-27,-29,3.8,9.9,"35.5%",596,"29.5%","26.4%",0.4,0.44
"Malphite","Top",2,"6.5%","0.0%","6.5%","0%","100%",1,9,8,1,"50.0%","18.8%","0%",-1028,-485,-25,6.8,"23.0%",523,"22.6%","19.9%",0.44,0.09
"Olaf","Top",2,"6.5%","22.6%","29.0%","50%","0%",9,9,8,1.9,"60.7%","24.3%","0%",-136,-210,4.5,8.6,"27.3%",566,"25.5%","25.5%",0.54,0.28
"Blitzcrank","Support",3,"9.7%","9.7%","19.4%","33%","100%",6,8,20,3.3,"89.7%","22.2%","67%",182,153,0.7,1.2,"2.9%",172,"8.6%","9.8%",1.64,0.4
"Ezreal","ADC",4,"12.9%","9.7%","22.6%","25%","50%",7,8,16,2.9,"62.2%","14.8%","25%",211,286,6.5,10.2,"33.1%",730,"35.6%","26.4%",0.35,0.34
"Tristana","Middle",2,"6.5%","19.4%","25.8%","50%","50%",10,8,6,2,"88.9%","27.6%","0%",568,74,3.5,9.3,"28.2%",571,"31.3%","29.7%",0.4,0.44
"Rumble","Top",4,"12.9%","51.6%","64.5%","75%","50%",9,7,14,3.3,"41.8%","18.9%","0%",439,336,21.8,8.5,"25.3%",628,"29.2%","22.5%",0.38,0.1
"Viktor","Middle",2,"6.5%","3.2%","9.7%","50%","50%",11,7,11,3.1,"73.3%","24.1%","0%",-213,9,1,8.7,"24.9%",1095,"45.4%","25.8%",0.54,0.29
"Caitlyn","ADC",1,"3.2%","0.0%","3.2%","0%","100%",5,6,6,1.8,"61.1%","24.0%","0%",709,382,5,9.5,"36.7%",988,"30.8%","28.0%",0.49,0.64
"Cassiopeia","Middle",2,"6.5%","6.5%","12.9%","100%","100%",6,6,14,3.3,"44.4%","42.9%","0%",-423,-204,-7,8.2,"22.9%",441,"17.6%","19.4%",0.36,0.2
"Kha'Zix","Jungle",1,"3.2%","0.0%","3.2%","0%","100%",1,6,0,0.2,"25.0%","26.1%","0%",-723,-1100,-15,5.5,"17.0%",249,"15.5%","19.6%",1.08,0.71
"Nocturne","Jungle",2,"6.5%","38.7%","45.2%","100%","100%",6,6,28,5.7,"73.9%","30.0%","50%",-733,-531,-9,5.4,"17.1%",445,"14.7%","17.6%",0.8,0.49
"Sivir","ADC",2,"6.5%","3.2%","9.7%","0%","100%",8,6,7,2.5,"88.2%","13.3%","0%",100,342,-1.5,10,"34.6%",589,"32.0%","30.6%",0.46,0.35
"Braum","Support",2,"6.5%","3.2%","9.7%","50%","100%",0,5,16,3.2,"88.9%","21.7%","0%",-350,-438,-2.5,1,"1.6%",141,"7.0%","7.2%",1.6,0.27
"Ivern","Jungle",3,"9.7%","12.9%","22.6%","67%","100%",2,5,31,6.6,"78.6%","17.2%","33%",-440,72,3.7,5.8,"14.9%",241,"10.4%","16.0%",0.28,0.43
"Leona","Support",1,"3.2%","0.0%","3.2%","0%","100%",0,5,2,0.4,"66.7%","25.0%","0%",-136,-588,-2,1.2,"2.4%",73,"3.9%","8.8%",2.18,0.29
"Sett","Top",1,"3.2%","0.0%","6.5%","100%","100%",0,5,11,2.2,"55.0%","27.8%","0%",69,-474,1,6.3,"19.9%",466,"17.9%","18.5%",0.49,0.16
"Taliyah","Jungle",1,"3.2%","22.6%","48.4%","0%","100%",0,5,3,0.6,"100.0%","26.3%","100%",-86,-425,-9,4.8,"14.3%",382,"26.8%","18.7%",0.28,0.21
"Wukong","Jungle",3,"9.7%","9.7%","19.4%","100%","100%",9,5,40,9.8,"77.8%","21.7%","33%",-118,113,6.3,5.5,"15.0%",426,"17.5%","18.6%",0.32,0.41
"LeBlanc","Middle",2,"6.5%","25.8%","32.3%","100%","100%",5,4,10,3.8,"40.5%","44.4%","0%",226,9,5.5,8.6,"24.0%",610,"25.1%","21.7%",0.9,0.59
"Poppy","Top",1,"3.2%","45.2%","51.6%","0%","100%",0,4,2,0.5,"28.6%","20.0%","0%",-492,-281,-9,6,"15.9%",350,"19.4%","15.0%",0.46,0.21
"Rell","Jungle",2,"6.5%","25.8%","77.4%","50%","0%",1,4,16,4.3,"73.9%","17.4%","50%",-273,-289,-4.5,4.9,"11.8%",197,"9.3%","15.5%",0.33,0.4
"Akali","Middle",2,"6.5%","12.9%","19.4%","50%","100%",10,3,5,5,"65.2%","14.3%","0%",137,551,-0.5,8.7,"22.0%",558,"29.2%","24.9%",0.32,0.16
"Darius","Top",2,"6.5%","19.4%","25.8%","100%","100%",10,3,9,6.3,"73.1%","27.3%","50%",1158,957,22,7.9,"22.8%",485,"22.9%","24.3%",0.43,0.37
"Maokai","Support",1,"3.2%","67.7%","100.0%","0%","0%",0,3,7,2.3,"70.0%","15.8%","0%",971,843,59,5.6,"16.6%",266,"16.2%","14.8%",0.68,0.21
"Senna","ADC",1,"3.2%","12.9%","16.1%","0%","0%",0,3,9,3,"90.0%","15.8%","0%",-558,-730,-74,1.3,"5.6%",356,"21.7%","12.9%",1.18,0.74
"Draven","ADC",1,"3.2%","3.2%","6.5%","100%","100%",6,2,7,6.5,"68.4%","20.0%","0%",558,730,74,8.4,"26.9%",483,"20.9%","27.5%",0.47,0.29
"Kennen","Top",3,"9.7%","22.6%","32.3%","100%","33%",9,2,25,17,"66.7%","12.5%","33%",949,486,30.3,8.5,"23.5%",714,"26.2%","22.1%",0.37,0.24
"Poppy","Jungle",1,"3.2%","45.2%","51.6%","100%","0%",0,2,11,5.5,"57.9%","66.7%","0%",86,425,9,5,"12.3%",277,"12.7%","14.2%",0.43,0.39
"Sett","Support",1,"3.2%","0.0%","6.5%","100%","100%",5,2,13,9,"72.0%","14.3%","100%",302,494,5,1.7,"4.3%",354,"12.4%","12.9%",1.74,0.62
"Sion","Top",1,"3.2%","3.2%","6.5%","0%","100%",0,2,1,0.5,"33.3%","18.2%","0%",-793,-760,-30,7.1,"22.2%",244,"18.6%","17.8%",0.44,0.06
"Garen","Top",1,"3.2%","0.0%","3.2%","100%","100%",7,1,5,12,"48.0%","14.3%","0%",639,672,5,7.1,"20.2%",723,"25.6%","21.5%",0.38,0.49
"Gragas","Jungle",1,"3.2%","0.0%","3.2%","0%","100%",0,1,4,4,"80.0%","7.1%","0%",-645,-931,-16,4.2,"12.0%",346,"16.4%","16.6%",0.34,0.29
"Zeri","ADC",2,"6.5%","0.0%","6.5%","50%","100%",4,1,8,12,"85.7%","5.0%","0%",-8,117,-4,11,"37.5%",379,"24.9%","31.7%",0.36,0.52
"Taric","Support",1,"3.2%","0.0%","3.2%","100%","100%",1,0,14,15,"88.2%","0.0%","0%",-108,-53,0,1.2,"2.8%",154,"5.5%","10.0%",1.3,0.35
"Yone","-",0,"0%","6.5%","6.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
